Time[s], Channel 1
1.384392125, 0
1.38440525, 1
1.3844185, 0
1.384431625, 1
1.3844449375, 0
1.3844580625, 1
1.3844713125, 0
1.3844845, 1
1.38449775, 0
1.384510875, 1
1.384524125, 0
1.3845373125, 1
1.3845505625, 0
1.3845636875, 1
1.384577, 0
1.384590125, 1
1.384603375, 0
1.3859045, 1
1.3859178125, 0
1.3859309375, 1
1.3859441875, 0
1.3859573125, 1
1.385970625, 0
1.38598375, 1
1.385997, 0
1.386010125, 1
1.3860234375, 0
1.3860365625, 1
1.3860498125, 0
1.386063, 1
1.38607625, 0
1.386089375, 1
1.3861026875, 0
1.3861158125, 1
1.3861290625, 0
1.3861421875, 1
1.3861555, 0
1.386168625, 1
1.386181875, 0
1.386195, 1
1.3862083125, 0
1.3862214375, 1
1.3862346875, 0
1.386247875, 1
1.386261125, 0
1.38627425, 1
1.3862875625, 0
1.3863006875, 1
1.3863139375, 0
1.3876154375, 1
1.3876286875, 0
1.3876418125, 1
1.387655125, 0
1.38766825, 1
1.3876815, 0
1.3876946875, 1
1.3877079375, 0
1.3877210625, 1
1.387734375, 0
1.3877475, 1
1.38776075, 0
1.387773875, 1
1.3877871875, 0
1.3878003125, 1
1.387813625, 0
1.38782675, 1
1.38784, 0
1.387853125, 1
1.3878664375, 0
1.3878795625, 1
1.3878928125, 0
1.3879059375, 1
1.38791925, 0
1.387932375, 1
1.3879456875, 0
1.3879588125, 1
1.3879720625, 0
1.3879851875, 1
1.3879985, 0
1.388011625, 1
1.388024875, 0
1.38932625, 1
1.3893395625, 0
1.3893526875, 1
1.3893659375, 0
1.389379125, 1
1.389392375, 0
1.3894055, 1
1.3894188125, 0
1.3894319375, 1
1.3894451875, 0
1.3894583125, 1
1.389471625, 0
1.38948475, 1
1.3894980625, 0
1.3895111875, 1
1.3895244375, 0
1.3895375625, 1
1.389550875, 0
1.389564, 1
1.38957725, 0
1.3895904375, 1
1.3896036875, 0
1.3896168125, 1
1.389630125, 0
1.38964325, 1
1.3896565, 0
1.389669625, 1
1.3896829375, 0
1.3896960625, 1
1.389709375, 0
1.3897225, 1
1.38973575, 0
1.3910371875, 1
1.3910504375, 0
1.3910635625, 1
1.391076875, 0
1.39109, 1
1.39110325, 0
1.391116375, 1
1.3911296875, 0
1.3911428125, 1
1.3911560625, 0
1.39116925, 1
1.3911825, 0
1.391195625, 1
1.3912089375, 0
1.3912220625, 1
1.3912353125, 0
1.3912484375, 1
1.39126175, 0
1.391274875, 1
1.391288125, 0
1.39130125, 1
1.3913145625, 0
1.3913276875, 1
1.391341, 0
1.391354125, 1
1.391367375, 0
1.3913805, 1
1.3913938125, 0
1.3914069375, 1
1.3914201875, 0
1.3914333125, 1
1.391446625, 0
1.3927461875, 1
1.3927594375, 0
1.392772625, 1
1.392785875, 0
1.392799, 1
1.3928123125, 0
1.3928254375, 1
1.3928386875, 0
1.3928518125, 1
1.392865125, 0
1.39287825, 1
1.3928915625, 0
1.3929046875, 1
1.3929179375, 0
1.3929310625, 1
1.392944375, 0
1.3929575, 1
1.39297075, 0
1.392983875, 1
1.3929971875, 0
1.3930103125, 1
1.3930235625, 0
1.39303675, 1
1.39305, 0
1.393063125, 1
1.393076375, 0
1.3930895625, 1
1.3931028125, 0
1.3931159375, 1
1.39312925, 0
1.393142375, 1
1.393155625, 0
1.39316875, 1
1.3931820625, 0
1.3931951875, 1
1.3932084375, 0
1.3932215625, 1
1.393234875, 0
1.393248, 1
1.39326125, 0
1.393274375, 1
1.3932876875, 0
1.3933008125, 1
1.3933140625, 0
1.39332725, 1
1.3933405, 0
1.393353625, 1
1.3933669375, 0
1.3933800625, 1
1.3933933125, 0
1.3934064375, 1
1.39341975, 0
1.393432875, 1
1.393446125, 0
1.39345925, 1
1.3934725625, 0
1.3934856875, 1
1.3934989375, 0
1.3935120625, 1
1.393525375, 0
1.3935385, 1
1.39355175, 0
1.393564875, 1
1.3935781875, 0
1.3935913125, 1
1.3936045625, 0
1.3936176875, 1
1.393631, 0
1.393644125, 1
1.393657375, 0
1.3936705, 1
1.3936838125, 0
1.3936969375, 1
1.3937101875, 0
1.393723375, 1
1.393736625, 0
1.39374975, 1
1.3937630625, 0
1.3937761875, 1
1.3937894375, 0
1.3938025625, 1
1.393815875, 0
1.393829, 1
1.39384225, 0
1.393855375, 1
1.3938686875, 0
1.3938818125, 1
1.3938950625, 0
1.3939081875, 1
1.3939215, 0
1.393934625, 1
